Concurso,Data Sorteio,1º Prêmio,2º Prêmio,3º Prêmio,4º Prêmio,5º Prêmio
00489,16/08/1967,23227,01255,31109,00802,28712
00490,19/08/1967,23159,23219,15426,27357,16767
00491,23/08/1967,23825,11167,31852,23442,27447
00492,26/08/1967,29392,15146,20236,29511,13128
00493,30/08/1967,06644,34397,26777,11147,13734
00494,02/09/1967,19453,09635,38489,26148,02222
00495,06/09/1967,27432,18153,37614,09027,21720
00496,09/09/1967,01252,17750,03113,12234,24473
00497,13/09/1967,17834,16069,24113,37420,24773
00498,16/09/1967,07079,45735,37666,43449,30238
00499,20/09/1967,16718,37615,12092,08655,46897
00500,23/09/1967,10735,40956,09284,25511,26864
00501,27/09/1967,45039,06240,33515,40956,45963
00502,30/09/1967,48594,28739,29056,20538,31384
00503,04/10/1967,21208,06900,23131,02507,27446
00504,07/10/1967,18880,28886,16647,13786,01599
00505,11/10/1967,32738,28750,44093,29383,33266
00506,14/10/1967,21507,36532,31994,43864,36331
00507,18/10/1967,14675,36146,00425,19055,15851
00508,21/10/1967,28785,37198,25370,06514,38388
00509,25/10/1967,42394,42325,19806,07229,05216
00510,28/10/1967,42066,20459,35567,47838,25091
00511,01/11/1967,23476,35240,06083,11613,29132
00512,04/11/1967,27214,19605,13944,49175,25500
00513,08/11/1967,09090,00646,47056,07100,38978
00514,11/11/1967,25195,13816,11625,38507,31676
00515,18/11/1967,48260,08601,06588,38013,13510
00516,22/11/1967,22812,47805,19829,09885,47625
00517,25/11/1967,08061,25772,32787,42697,29566
00518,29/11/1967,36726,01256,37250,42075,13461
00519,02/12/1967,49431,49730,33844,01047,17323
00520,06/12/1967,18090,01694,24154,40723,07281
00521,09/12/1967,32231,10342,16563,34009,33216
00522,13/12/1967,09505,17364,48721,31779,47132
00523,16/12/1967,04634,28751,19941,41213,14669
00524,20/12/1967,06955,31516,03211,15713,48974
00525,23/12/1967,34601,29333,04677,14079,04129
00526,27/12/1967,43788,18464,35001,33431,37406
00527,30/12/1967,00389,44653,09469,15606,14693
00528,03/01/1968,05807,45355,26493,09847,10473
00529,06/01/1968,38046,32508,27920,00402,45265
00530,10/01/1968,16446,25791,17596,30580,04224
00531,13/01/1968,11454,49702,26635,14312,06166
00532,17/01/1968,12140,36391,46035,19599,31794
00533,20/01/1968,45087,05166,07313,13178,49898
00534,24/01/1968,23344,18368,05824,19269,02179
00535,27/01/1968,41459,37756,16677,33421,46192
00536,31/01/1968,11693,19460,26151,23495,25417
00537,03/02/1968,18249,28095,07376,40047,01347
00538,07/02/1968,49930,10239,14839,24890,49267
00539,10/02/1968,46226,13200,40936,12859,14531
00540,14/02/1968,07681,13466,38648,24433,34035
00541,17/02/1968,45819,20987,41840,44211,08693
00542,21/02/1968,28165,13740,24926,35954,17672
00543,24/02/1968,37629,46685,47417,09317,48245
00544,02/03/1968,14328,39063,37904,46312,16909
00545,06/03/1968,43370,31361,04609,44422,48197
00546,09/03/1968,00501,12819,42232,46246,20918
00547,13/03/1968,26426,44370,02695,36633,28444
